TITLE = "Slice Y = 0.05"
VARIABLES = "x", "y", "z", "ExR", "EyR", "EzR", "ExI", "EyI", "EzI", "abs(E)"
ZONE I= 21, J= 1, K= 21, F=POINT
0.00000000000000000e+00 5.00000000000000028e-02 0.00000000000000000e+00 1.05121593089526688e+00 9.99947520926805167e-01 1.05123788444124289e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 1.79166153825441188e+00
5.00000000000000010e-03 5.00000000000000028e-02 0.00000000000000000e+00 1.05121653448333197e+00 1.00501142164115942e+00 1.05656111508020500e+00 0.00000000000000000e+00 0.00000000000000000e+00 -3.53382777763551572e-10 1.79761663040256092e+00
1.00000000000000002e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121587647388304e+00 1.01007406075799921e+00 1.06188434571916712e+00 0.00000000000000000e+00 0.00000000000000000e+00 -7.06765555527103144e-10 1.80358054736968487e+00
1.49999999999999994e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121521846443389e+00 1.01513669987483990e+00 1.06720757635812991e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.06014833329065508e-09 1.80955463194682298e+00
2.00000000000000004e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121456045498496e+00 1.02019933899167947e+00 1.07253080699709158e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.41353111105420670e-09 1.81553878376350286e+00
2.50000000000000014e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121390244553581e+00 1.02526197810851949e+00 1.07785403763605347e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.76691388881775832e-09 1.82153290360018216e+00
2.99999999999999989e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121629392472715e+00 1.03045294884277450e+00 1.08330532295075632e+00 0.00000000000000000e+00 0.00000000000000000e+00 2.84001247250616188e-12 1.82768689854828525e+00
3.50000000000000033e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121634710611112e+00 1.03564377702297694e+00 1.08876360584451670e+00 0.00000000000000000e+00 0.00000000000000000e+00 -7.98386650687037127e-11 1.83385387387356680e+00
4.00000000000000008e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121640028749530e+00 1.04083460520317916e+00 1.09422188873827686e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.62517342609913561e-10 1.84003101534072488e+00
4.49999999999999983e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121645346887926e+00 1.04602543338338139e+00 1.09968017163203724e+00 0.00000000000000000e+00 0.00000000000000000e+00 -2.45196020151123307e-10 1.84621822090706456e+00
5.00000000000000028e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121650665026323e+00 1.05121626156358405e+00 1.10513845452579784e+00 0.00000000000000000e+00 0.00000000000000000e+00 -3.27874697692333466e-10 1.85241538972806241e+00
5.50000000000000003e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121632593390424e+00 1.05653842975980217e+00 1.11072713642659471e+00 0.00000000000000000e+00 0.00000000000000000e+00 -6.22354074709929972e-10 1.85877486239289036e+00
5.99999999999999978e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121620436499796e+00 1.06186030396206310e+00 1.11632455294060895e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.30368397193201752e-09 1.86514967789397756e+00
6.50000000000000022e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121608279609147e+00 1.06718217816432404e+00 1.12192196945462319e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.98501386915410445e-09 1.87153465361068072e+00
7.00000000000000067e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121596122718497e+00 1.07250405236658519e+00 1.12751938596863766e+00 0.00000000000000000e+00 0.00000000000000000e+00 -2.66634376637619180e-09 1.87792968590856324e+00
7.49999999999999972e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121583965827892e+00 1.07782592656884613e+00 1.13311680248265167e+00 0.00000000000000000e+00 0.00000000000000000e+00 -3.34767366359827707e-09 1.88433467239791574e+00
8.00000000000000017e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121343230082931e+00 1.08328117493140397e+00 1.13884947699770334e+00 0.00000000000000000e+00 0.00000000000000000e+00 -4.23333728636116787e-10 1.89090610963854999e+00
8.50000000000000061e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121390655045732e+00 1.08874464668084125e+00 1.14458866112995694e+00 0.00000000000000000e+00 0.00000000000000000e+00 -1.56887299133277911e-10 1.89749803325024069e+00
8.99999999999999967e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121438080008534e+00 1.09420811843027854e+00 1.15032784526221077e+00 0.00000000000000000e+00 0.00000000000000000e+00 1.09559130369560138e-10 1.90410011092516829e+00
9.50000000000000011e-02 5.00000000000000028e-02 0.00000000000000000e+00 1.05121485504971335e+00 1.09967159017971583e+00 1.15606702939446482e+00 0.00000000000000000e+00 0.00000000000000000e+00 3.76005559872398186e-10 1.91071223740743279e+00
1.00000000000000006e-01 5.00000000000000028e-02 0.00000000000000000e+00 1.05121532929934136e+00 1.10513506192915356e+00 1.16180621352671865e+00 0.00000000000000000e+00 0.00000000000000000e+00 6.42451989375236649e-10 1.91733430873396937e+00
0.00000000000000000e+00 5.00000000000000028e-02 5.00000000000000010e-03 1.05647862375833013e+00 1.00500351286337120e+00 1.05123734321284679e+00 -1.90258909802997788e-10 0.00000000000000000e+00 0.00000000000000000e+00 1.79757589411162733e+00
